time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
852.2126,-0.1983576,1.011778,0.5169634,0.4509169,1.919083,0.172664,0.06526607,0.1712181,0.9902086,-0.1170291,2.473658,-0.4355171
852.2504,-0.0781643,1.289901,0.718013,0.4087473,1.883768,0.05351865,0.4380277,1.389524,1.568672,-0.1275214,2.164375,-0.7425191
852.2878,-0.0417591,1.601183,0.6989307,0.4192415,1.839044,-0.009039899,0.3574199,2.456565,1.029051,0.1712065,1.884265,-0.9767349
852.3259,-0.08724445,1.799485,0.5495859,0.4296293,1.784829,-0.01910895,0.007429332,2.764507,0.305106,0.3348143,1.621363,-1.001091
852.3629,-0.1603026,1.862543,0.4043059,0.4233832,1.766689,0.001177894,-0.4527691,2.578255,-0.2299021,0.3440849,1.61974,-0.9847826
852.4007,-0.1961075,1.838191,0.2865429,0.4309293,1.765712,0.0256645,-0.4621717,2.156084,-0.6234869,0.4821822,1.721084,-0.9720235
852.4381,-0.1959379,1.792928,0.2203321,0.422323,1.755377,0.05464881,-0.3357224,1.820689,-0.7694608,0.5103214,1.772926,-0.9413174
852.4758,-0.186277,1.75897,0.1901771,0.4070393,1.739824,0.07993066,-0.306946,1.642798,-0.7956947,0.4762976,1.801224,-0.9157768
852.5132,-0.1711299,1.756686,0.1784548,0.3936829,1.718526,0.1026751,-0.2703172,1.731392,-0.8162925,0.456675,1.782348,-0.8932962
852.5508,-0.1580508,1.744989,0.1766814,0.3738534,1.697638,0.1297962,-0.2313941,1.761289,-0.8204921,0.408572,1.786434,-0.8656483
852.5883,-0.1451972,1.721943,0.1861642,0.3549745,1.675626,0.1685002,-0.1439647,1.729016,-0.8138101,0.3853154,1.835644,-0.8181479
852.6257,-0.1337239,1.700505,0.2153857,0.3318515,1.652192,0.2287134,-0.06362868,1.762106,-0.7802507,0.347893,1.993625,-0.7110558
852.663,-0.1212579,1.675256,0.2906159,0.3039257,1.611794,0.3261079,0.04748897,1.967825,-0.6506215,0.3021425,2.233525,-0.4571204
852.7009,-0.1252826,1.63052,0.4387826,0.2826186,1.531898,0.4647815,0.05504377,2.420413,-0.1473495,0.3505941,2.448115,0.06990594
852.7383,-0.151612,1.453592,0.6669935,0.2570503,1.33027,0.6609315,-0.08623056,2.370296,1.061174,0.4717245,2.158606,1.1784
852.7767,-0.187049,1.067273,0.767677,0.1594848,0.8936918,0.7109743,-0.2038491,1.034337,1.766993,0.1301881,0.3518051,1.550915
852.8134,-0.2261965,0.7388632,0.5405061,0.07412026,0.698886,0.3986602,-0.3038741,-0.1387583,1.013525,-0.1528638,-0.2750078,0.4016749
852.8505,-0.2248617,0.683247,0.3629388,0.06578546,0.7008771,0.3443078,-0.07361987,-0.2591578,0.6612659,-0.2454412,-0.2204899,0.5771613
852.8888,-0.281662,0.6866336,0.2444725,0.0829,0.7042454,0.3060019,-0.273606,-0.3057145,0.3676816,-0.09006991,-0.2429562,0.5759845
852.9258,-0.3109574,0.7007807,0.1746524,0.06957736,0.7205397,0.2901743,-0.2886495,-0.2982679,0.2121262,-0.1004843,-0.2088609,0.6177313
852.9632,-0.3450351,0.723609,0.1256732,0.0700653,0.7330215,0.2781178,-0.3540159,-0.2734397,0.04942793,-0.05017541,-0.2086549,0.592423
853.0011,-0.3666627,0.7611457,0.0609201,0.06257978,0.742628,0.2880127,-0.275412,-0.1606932,-0.3157579,-0.04325125,-0.1808507,0.6567767
853.0381,-0.3798346,0.8019828,0.01763906,0.02680122,0.7470224,0.2723206,-0.1953794,0.002644837,-0.554231,-0.2129683,-0.2065644,0.454482
853.0756,-0.3824688,0.8327603,0.0002755697,-0.01033932,0.7493554,0.2709773,-0.06016397,0.1345754,-0.6389881,-0.3159657,-0.2027934,0.2732992
853.1134,-0.4023674,0.8573686,-0.007687571,-0.03667069,0.7521217,0.3351129,-0.05339292,0.2078899,-0.6832571,-0.3457666,-0.1969088,0.3967648
853.1511,-0.4322214,0.8770964,-0.01048739,-0.03001696,0.7960273,0.5292061,-0.08153522,0.2901286,-0.7402056,-0.1359057,0.04933429,1.185893
853.189,-0.4677486,0.88771,-0.004109836,-0.06865939,1.018776,0.7291102,-0.1501476,0.2722977,-0.7254958,0.07684798,1.121417,1.713129
853.2266,-0.5216045,0.895852,0.02156918,-0.05994877,1.352115,0.7276291,-0.3149876,0.2300202,-0.6953531,0.1154972,2.194785,1.236674
853.2635,-0.5913519,0.8824727,0.1225793,-0.03140623,1.531538,0.6015423,-0.5534015,0.006362021,-0.3580346,0.1640042,2.503415,0.470123
853.3009,-0.6540858,0.8800044,0.3533621,0.01323565,1.593813,0.5258299,-0.7505664,-0.02336061,0.7712414,0.337278,2.49319,0.2323698
853.3391,-0.7151479,1.168091,0.5986159,0.05654685,1.609245,0.4802648,-0.9961261,1.661853,1.421568,0.5518543,2.379929,0.0793702
853.3765,-0.6188754,1.459526,0.5279793,0.06715158,1.595647,0.4409038,-0.3585808,2.345524,0.9117163,0.5202087,2.2683,-0.1441417
853.4138,-0.5390049,1.586024,0.4010762,0.04913164,1.568444,0.4384771,-0.2488196,2.523712,0.2099411,0.3885531,2.257373,-0.201969
853.4515,-0.4566468,1.632844,0.2974702,0.01558133,1.521289,0.4866159,-0.04253483,2.411582,-0.1737817,0.2355243,2.354151,-0.02128842
853.4886,-0.3868223,1.628695,0.2216952,-0.01672747,1.436048,0.575561,0.08238468,2.158336,-0.4849338,0.2000128,2.404358,0.4514709
853.5264,-0.3479101,1.610624,0.1862984,-0.06843472,1.263178,0.6870689,0.05320001,1.988054,-0.6483613,0.05789905,2.097424,1.223794
853.5638,-0.3233146,1.599806,0.1857623,-0.1533266,0.9267744,0.720394,0.01346311,1.928291,-0.6966654,-0.4171858,0.6671214,1.64935
853.6013,-0.3052544,1.597545,0.2106641,-0.1413167,0.6948278,0.4048003,0.01740935,1.974743,-0.6574429,-0.448247,-0.2408819,0.2308994
853.6382,-0.2969107,1.59412,0.2534752,-0.1524383,0.7205561,0.3392961,-0.02656892,2.073842,-0.5812597,-0.783142,-0.0552792,0.3221922
853.6755,-0.2848221,1.584573,0.3176447,-0.05243335,0.678506,0.3240248,-0.05950931,2.223942,-0.4175033,-0.1990635,-0.2942009,0.5038606
853.7131,-0.2603823,1.551129,0.3963646,-0.01969434,0.6730094,0.3200445,0.01096141,2.336326,-0.160267,-0.1368105,-0.2505833,0.685093
853.7508,-0.2384249,1.469047,0.4967718,0.009210901,0.6745451,0.2922889,0.04993182,2.386889,0.2239804,-0.001167668,-0.2554638,0.6596794
853.7892,-0.2429745,1.296207,0.6454868,0.03356438,0.678939,0.2583843,-0.1360193,2.178636,1.103614,0.07052131,-0.2893677,0.5053993
853.8253,-0.2494466,0.9229937,0.7086685,0.05384542,0.6862726,0.2529191,-0.2429035,0.7060277,1.684826,0.05617281,-0.2795692,0.5120412
853.863,-0.2673469,0.6635289,0.4628357,0.0767809,0.6962016,0.2661505,-0.2596912,-0.2663339,0.8306628,0.0266232,-0.2334514,0.6311566
853.9003,-0.2855334,0.6362498,0.2753178,0.1022954,0.7094162,0.2771598,-0.2865634,-0.3556111,0.4026402,-0.006213903,-0.1822445,0.7166675
853.9377,-0.3173784,0.6517563,0.1539823,0.1417026,0.7226726,0.2778784,-0.4345354,-0.3410358,0.1792439,0.05904308,-0.1705974,0.7197337
853.976,-0.3280218,0.681138,0.06524669,0.1835242,0.7369753,0.2821216,-0.4321197,-0.3127422,0.02829288,0.147328,-0.1447227,0.7525454
854.0128,-0.3309681,0.7240084,-0.02146519,0.2219892,0.7488951,0.2820772,-0.4268647,-0.2577919,-0.1853925,0.2171284,-0.1267416,0.7650231
854.0504,-0.3301674,0.7777426,-0.1037354,0.2572167,0.7532657,0.2710334,-0.4074272,-0.1398908,-0.4935813,0.2916465,-0.1429864,0.7132401
854.0887,-0.3267129,0.8219582,-0.1551158,0.2897159,0.7521822,0.2569349,-0.3689267,-0.01767349,-0.6966293,0.3527222,-0.1647034,0.651081
854.1254,-0.329088,0.856284,-0.1781594,0.3145699,0.7509248,0.2278524,-0.342179,0.1205037,-0.8552534,0.3853581,-0.2187597,0.4617351
854.163,-0.3329995,0.8874307,-0.1600482,0.3173442,0.7751887,0.1872474,-0.3122162,0.2983667,-0.9678676,0.3013385,-0.2192037,0.08271103
854.201,-0.3291806,0.8926693,-0.06854887,0.311471,0.8414626,0.2060937,-0.2242456,0.2689195,-0.8430972,0.1519203,-0.1024019,-0.08315313
854.2381,-0.3345822,0.8717033,0.1120126,0.3346598,0.9137494,0.3106316,-0.1896096,-0.04229921,-0.2669103,0.1883591,-0.07017285,0.2081958
854.2756,-0.3511225,0.9501789,0.3413949,0.3790798,1.05889,0.5021209,-0.2533776,-0.03373653,0.4909155,0.3951135,0.196576,1.008242
854.3137,-0.3391406,1.131731,0.5561694,0.3798615,1.312748,0.6436499,-0.2191709,0.4818811,1.306704,0.4036494,1.003403,1.594302
854.3514,-0.2947568,1.493366,0.6948617,0.3487672,1.677733,0.6510968,-0.1087428,2.095074,1.471616,0.3086655,2.517498,1.192563
854.3895,-0.2637423,1.797278,0.4684409,0.3322499,1.875134,0.3850615,-0.07422122,2.672974,0.02432585,0.2593479,2.668929,-0.2187394
854.4262,-0.2400448,1.820057,0.2524078,0.3205621,1.835273,0.1842319,-0.02737296,2.231571,-0.6338354,0.2379162,2.074955,-0.7830957
854.4637,-0.2390401,1.79377,0.1488318,0.3279042,1.781661,0.1036627,-0.09384869,1.881617,-0.8366643,0.3014911,1.659842,-0.8885381
854.5013,-0.2458528,1.757529,0.09006346,0.3438323,1.767542,0.07361951,-0.2376212,1.625762,-0.9011832,0.390988,1.606524,-0.9122049
854.5387,-0.2370906,1.720134,0.07159981,0.3567837,1.753594,0.06874637,-0.3594267,1.435514,-0.8792027,0.5093513,1.548186,-0.897965
854.5773,-0.2064043,1.7142,0.0687494,0.3460078,1.749809,0.07787763,-0.3240037,1.480767,-0.8964858,0.4687344,1.59461,-0.9023527
854.6136,-0.1777648,1.711817,0.0771009,0.3242635,1.745137,0.1011561,-0.2801265,1.578294,-0.9086443,0.3498296,1.698919,-0.8974482
854.6514,-0.1655047,1.701202,0.09390812,0.3038989,1.731193,0.1482196,-0.2868108,1.612175,-0.8947069,0.2359969,1.844822,-0.8429806
854.6888,-0.1634782,1.69379,0.1124651,0.2883993,1.705969,0.2266573,-0.2966669,1.663393,-0.8781593,0.1679076,2.095656,-0.686374
854.7264,-0.1602832,1.685826,0.1311471,0.2780561,1.651788,0.3362383,-0.2675227,1.702838,-0.8629406,0.1636271,2.373452,-0.346482
854.7639,-0.1496644,1.671151,0.1526211,0.2796218,1.529244,0.4698414,-0.1700191,1.688788,-0.8470163,0.2994106,2.490147,0.1936631
854.8015,-0.1377326,1.657684,0.1834585,0.2679914,1.308404,0.6131021,-0.05993821,1.723443,-0.8113397,0.4163241,2.197762,1.045584
854.8393,-0.1316783,1.638403,0.2388682,0.1899798,0.8655816,0.659892,-0.04186543,1.831512,-0.7381898,0.1266749,0.2909651,1.475863
854.8768,-0.1209386,1.615291,0.3538531,0.09481034,0.7103379,0.3647679,-0.0143933,2.225906,-0.4308743,-0.2227385,-0.2361131,0.4230185
854.9136,-0.1073908,1.510348,0.5715156,0.09348761,0.698324,0.3335783,0.1128763,2.4855,0.5952169,-0.1372831,-0.2166882,0.6644827
854.9527,-0.150963,1.195343,0.75481,0.09399138,0.6842487,0.2809855,-0.07230857,1.587941,1.671151,-0.1316811,-0.2764045,0.4429036
854.9886,-0.2224246,0.7713931,0.611196,0.100835,0.6734935,0.28317,-0.3507187,-0.01072419,1.220977,-0.02633315,-0.3101453,0.4107756
