time,lbx,lby,lbz,rbx,rby,rbz,ltx,lty,ltz,rtx,rty,rtz
620.2068,-0.1970901,0.886838,0.5033956,0.1813774,0.8290954,0.4749499,-0.08186254,0.8504393,1.496068,-0.1095788,0.5686733,1.395561
620.2441,-0.2787252,0.7677091,0.4091135,0.2615787,0.7237664,0.3804515,-0.4923123,0.3084639,1.271363,0.4085508,0.02251166,1.078048
620.2815,-0.3613647,0.7051282,0.2627706,0.3385592,0.682615,0.2587114,-0.8882647,-0.02466691,0.698403,0.7894332,-0.1598286,0.5536711
620.3199,-0.4103853,0.7149646,0.1501278,0.3982537,0.6965457,0.1603115,-1.028493,-0.03565586,0.3836052,1.042226,-0.0682531,0.1798633
620.357,-0.4345545,0.733449,0.1204583,0.4461438,0.7294492,0.1115154,-1.034959,0.06039721,0.5523324,1.262358,0.1526994,0.1454735
620.3943,-0.4524098,0.7539153,0.09157673,0.4643581,0.7428706,0.09625413,-1.071962,0.1646268,0.6101264,1.263071,0.184324,0.320049
620.4326,-0.4620243,0.771155,0.05034603,0.4675099,0.7516748,0.07553128,-1.086794,0.1670735,0.5450671,1.203405,0.1618134,0.4079791
620.4691,-0.4642657,0.7778598,0.007697835,0.4671885,0.7566105,0.03952789,-1.075194,0.09614551,0.4102297,1.153826,0.09828413,0.3479684
620.5074,-0.4630293,0.7807515,-0.02210554,0.4667807,0.757834,0.002634718,-1.064038,0.04248786,0.2840887,1.125617,0.03924298,0.2252596
620.5455,-0.4628376,0.7772833,-0.03170384,0.4657117,0.7613851,-0.01097884,-1.04517,0.0174275,0.2572731,1.107577,0.03875035,0.2455522
620.5818,-0.4644226,0.7699783,-0.02212596,0.4609185,0.7598797,-0.01497081,-1.029259,0.02669489,0.3363282,1.063745,0.01592964,0.2733673
620.6193,-0.4590575,0.770913,-0.002505736,0.4572015,0.7607346,-0.01432964,-0.9898061,0.04560572,0.4359407,1.04246,-0.009621203,0.2387011
620.6576,-0.455551,0.7671694,0.01600351,0.4517495,0.7609912,0.002897482,-0.9856733,0.04125315,0.4541998,1.038133,-0.004772961,0.2670181
620.6947,-0.4491959,0.7659801,0.04379816,0.4410081,0.7577388,0.03258861,-0.9778096,0.06558239,0.5233922,0.9961705,-0.005853474,0.3623183
620.7321,-0.4355354,0.767944,0.08299717,0.4237874,0.7563009,0.07508848,-0.9339402,0.1084781,0.6457559,0.9124584,0.00479126,0.5182973
620.7694,-0.4216053,0.7671748,0.1157482,0.4054738,0.7571622,0.1140854,-0.8994927,0.1294822,0.719877,0.8289685,0.01386875,0.6319339
620.8073,-0.4040114,0.7662649,0.1483676,0.38818,0.7606211,0.1515208,-0.8389543,0.1393012,0.7946965,0.7492635,0.03829372,0.7413188
620.8447,-0.3823095,0.768799,0.1832676,0.3705634,0.7686399,0.1914904,-0.7408885,0.175826,0.904242,0.6725936,0.09364253,0.8646592
620.8826,-0.3601424,0.7737749,0.2133482,0.3532349,0.7780772,0.2266194,-0.6356176,0.2133439,0.9943926,0.5933617,0.1441635,0.9618014
620.9202,-0.3384162,0.7815644,0.2413533,0.3382496,0.7860921,0.2552184,-0.5397179,0.2706509,1.077084,0.5299264,0.1825435,1.029162
620.9576,-0.3204431,0.7890471,0.263397,0.3242739,0.7940764,0.2791646,-0.4659453,0.3215714,1.135346,0.4664771,0.2332131,1.094769
620.995,-0.3042446,0.7957311,0.280101,0.3103163,0.8003719,0.2997348,-0.3822189,0.3719407,1.182499,0.405961,0.2792498,1.147841
621.0323,-0.2937216,0.7994113,0.2909426,0.2988493,0.8019225,0.3125931,-0.3388195,0.4117883,1.211657,0.3599334,0.3003695,1.175561
